Upper tier local authorities Code,Upper tier local authorities,Age (86 categories) Code,Age (86 categories),Ethnic group (8 categories) Code,Ethnic group (8 categories),Sex (2 categories) Code,Sex (2 categories),Observation
E09000001,City of London,0,Aged under 1 year,-8,Does not apply,1,Female,0
E09000001,City of London,0,Aged under 1 year,-8,Does not apply,2,Male,0
E09000001,City of London,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",1,Female,7
E09000001,City of London,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",2,Male,4
E09000001,City of London,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,0
E09000001,City of London,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,1
E09000001,City of London,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,1,Female,2
E09000001,City of London,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,2,Male,4
E09000001,City of London,0,Aged under 1 year,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,3
E09000001,City of London,0,Aged under 1 year,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,13
E09000001,City of London,0,Aged under 1 year,5,White: Irish,1,Female,0
E09000001,City of London,0,Aged under 1 year,5,White: Irish,2,Male,0
E09000001,City of London,0,Aged under 1 year,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,3
E09000001,City of London,0,Aged under 1 year,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,4
E09000001,City of London,0,Aged under 1 year,7,Other ethnic group,1,Female,1
E09000001,City of London,0,Aged under 1 year,7,Other ethnic group,2,Male,3
E09000001,City of London,1,Aged 1 year,-8,Does not apply,1,Female,0
E09000001,City of London,1,Aged 1 year,-8,Does not apply,2,Male,0
E09000001,City of London,1,Aged 1 year,1,"Asian, Asian British or Asian Welsh",1,Female,8
E09000001,City of London,1,Aged 1 year,1,"Asian, Asian British or Asian Welsh",2,Male,1
E09000001,City of London,1,Aged 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,0
E09000001,City of London,1,Aged 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,0
E09000001,City of London,1,Aged 1 year,3,Mixed or Multiple ethnic groups,1,Female,6
E09000001,City of London,1,Aged 1 year,3,Mixed or Multiple ethnic groups,2,Male,11
E09000001,City of London,1,Aged 1 year,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,11
E09000001,City of London,1,Aged 1 year,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,7
E09000001,City of London,1,Aged 1 year,5,White: Irish,1,Female,1
E09000001,City of London,1,Aged 1 year,5,White: Irish,2,Male,0
E09000001,City of London,1,Aged 1 year,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,3
E09000001,City of London,1,Aged 1 year,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,8
E09000001,City of London,1,Aged 1 year,7,Other ethnic group,1,Female,1
E09000001,City of London,1,Aged 1 year,7,Other ethnic group,2,Male,1
E09000001,City of London,2,Aged 2 years,-8,Does not apply,1,Female,0
E09000001,City of London,2,Aged 2 years,-8,Does not apply,2,Male,0
E09000001,City of London,2,Aged 2 years,1,"Asian, Asian British or Asian Welsh",1,Female,7
E09000001,City of London,2,Aged 2 years,1,"Asian, Asian British or Asian Welsh",2,Male,2
E09000001,City of London,2,Aged 2 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,1
E09000001,City of London,2,Aged 2 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,2
E09000001,City of London,2,Aged 2 years,3,Mixed or Multiple ethnic groups,1,Female,3
E09000001,City of London,2,Aged 2 years,3,Mixed or Multiple ethnic groups,2,Male,3
E09000001,City of London,2,Aged 2 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,3
E09000001,City of London,2,Aged 2 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,5
E09000001,City of London,2,Aged 2 years,5,White: Irish,1,Female,0
E09000001,City of London,2,Aged 2 years,5,White: Irish,2,Male,0
E09000001,City of London,2,Aged 2 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,3
E09000001,City of London,2,Aged 2 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,2
E09000001,City of London,2,Aged 2 years,7,Other ethnic group,1,Female,0
E09000001,City of London,2,Aged 2 years,7,Other ethnic group,2,Male,2
E09000001,City of London,3,Aged 3 years,-8,Does not apply,1,Female,0
E09000001,City of London,3,Aged 3 years,-8,Does not apply,2,Male,0
E09000001,City of London,3,Aged 3 years,1,"Asian, Asian British or Asian Welsh",1,Female,2
E09000001,City of London,3,Aged 3 years,1,"Asian, Asian British or Asian Welsh",2,Male,1
E09000001,City of London,3,Aged 3 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,0
E09000001,City of London,3,Aged 3 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,0
E09000001,City of London,3,Aged 3 years,3,Mixed or Multiple ethnic groups,1,Female,9
E09000001,City of London,3,Aged 3 years,3,Mixed or Multiple ethnic groups,2,Male,0
E09000001,City of London,3,Aged 3 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,9
E09000001,City of London,3,Aged 3 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,7
E09000001,City of London,3,Aged 3 years,5,White: Irish,1,Female,0
E09000001,City of London,3,Aged 3 years,5,White: Irish,2,Male,0
E09000001,City of London,3,Aged 3 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,4
E09000001,City of London,3,Aged 3 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,5
E09000001,City of London,3,Aged 3 years,7,Other ethnic group,1,Female,2
E09000001,City of London,3,Aged 3 years,7,Other ethnic group,2,Male,0
E09000001,City of London,4,Aged 4 years,-8,Does not apply,1,Female,0
E09000001,City of London,4,Aged 4 years,-8,Does not apply,2,Male,0
E09000001,City of London,4,Aged 4 years,1,"Asian, Asian British or Asian Welsh",1,Female,3
E09000001,City of London,4,Aged 4 years,1,"Asian, Asian British or Asian Welsh",2,Male,0
E09000001,City of London,4,Aged 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,0
E09000001,City of London,4,Aged 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,1
E09000001,City of London,4,Aged 4 years,3,Mixed or Multiple ethnic groups,1,Female,4
E09000001,City of London,4,Aged 4 years,3,Mixed or Multiple ethnic groups,2,Male,3
E09000001,City of London,4,Aged 4 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,10
E09000001,City of London,4,Aged 4 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,6
E09000001,City of London,4,Aged 4 years,5,White: Irish,1,Female,0
E09000001,City of London,4,Aged 4 years,5,White: Irish,2,Male,0
E09000001,City of London,4,Aged 4 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,3
E09000001,City of London,4,Aged 4 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,3
E09000001,City of London,4,Aged 4 years,7,Other ethnic group,1,Female,3
E09000001,City of London,4,Aged 4 years,7,Other ethnic group,2,Male,4
E09000001,City of London,5,Aged 5 years,-8,Does not apply,1,Female,0
E09000001,City of London,5,Aged 5 years,-8,Does not apply,2,Male,0
E09000001,City of London,5,Aged 5 years,1,"Asian, Asian British or Asian Welsh",1,Female,0
E09000001,City of London,5,Aged 5 years,1,"Asian, Asian British or Asian Welsh",2,Male,5
E09000001,City of London,5,Aged 5 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,1
E09000001,City of London,5,Aged 5 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,0
E09000001,City of London,5,Aged 5 years,3,Mixed or Multiple ethnic groups,1,Female,1
E09000001,City of London,5,Aged 5 years,3,Mixed or Multiple ethnic groups,2,Male,1
E09000001,City of London,5,Aged 5 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,6
E09000001,City of London,5,Aged 5 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,4
E09000001,City of London,5,Aged 5 years,5,White: Irish,1,Female,0
E09000001,City of London,5,Aged 5 years,5,White: Irish,2,Male,0
E09000001,City of London,5,Aged 5 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,3
E09000001,City of London,5,Aged 5 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,2
E09000001,City of London,5,Aged 5 years,7,Other ethnic group,1,Female,2
E09000001,City of London,5,Aged 5 years,7,Other ethnic group,2,Male,2
E09000001,City of London,6,Aged 6 years,-8,Does not apply,1,Female,0
E09000001,City of London,6,Aged 6 years,-8,Does not apply,2,Male,0
E09000001,City of London,6,Aged 6 years,1,"Asian, Asian British or Asian Welsh",1,Female,5
E09000001,City of London,6,Aged 6 years,1,"Asian, Asian British or Asian Welsh",2,Male,1
E09000001,City of London,6,Aged 6 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,0
E09000001,City of London,6,Aged 6 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,1
E09000001,City of London,6,Aged 6 years,3,Mixed or Multiple ethnic groups,1,Female,2
E09000001,City of London,6,Aged 6 years,3,Mixed or Multiple ethnic groups,2,Male,1
E09000001,City of London,6,Aged 6 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,6
E09000001,City of London,6,Aged 6 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,8
E09000001,City of London,6,Aged 6 years,5,White: Irish,1,Female,0
E09000001,City of London,6,Aged 6 years,5,White: Irish,2,Male,0
E09000001,City of London,6,Aged 6 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,1
E09000001,City of London,6,Aged 6 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,1
E09000001,City of London,6,Aged 6 years,7,Other ethnic group,1,Female,3
E09000001,City of London,6,Aged 6 years,7,Other ethnic group,2,Male,0
E09000001,City of London,7,Aged 7 years,-8,Does not apply,1,Female,0
E09000001,City of London,7,Aged 7 years,-8,Does not apply,2,Male,0
E09000001,City of London,7,Aged 7 years,1,"Asian, Asian British or Asian Welsh",1,Female,2
E09000001,City of London,7,Aged 7 years,1,"Asian, Asian British or Asian Welsh",2,Male,3
E09000001,City of London,7,Aged 7 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,0
E09000001,City of London,7,Aged 7 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,1
E09000001,City of London,7,Aged 7 years,3,Mixed or Multiple ethnic groups,1,Female,3
E09000001,City of London,7,Aged 7 years,3,Mixed or Multiple ethnic groups,2,Male,3
E09000001,City of London,7,Aged 7 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,10
E09000001,City of London,7,Aged 7 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,12
E09000001,City of London,7,Aged 7 years,5,White: Irish,1,Female,0
E09000001,City of London,7,Aged 7 years,5,White: Irish,2,Male,0
E09000001,City of London,7,Aged 7 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,5
E09000001,City of London,7,Aged 7 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,1
E09000001,City of London,7,Aged 7 years,7,Other ethnic group,1,Female,0
E09000001,City of London,7,Aged 7 years,7,Other ethnic group,2,Male,1
E09000001,City of London,8,Aged 8 years,-8,Does not apply,1,Female,0
E09000001,City of London,8,Aged 8 years,-8,Does not apply,2,Male,0
E09000001,City of London,8,Aged 8 years,1,"Asian, Asian British or Asian Welsh",1,Female,2
E09000001,City of London,8,Aged 8 years,1,"Asian, Asian British or Asian Welsh",2,Male,1
E09000001,City of London,8,Aged 8 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,0
E09000001,City of London,8,Aged 8 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,1
E09000001,City of London,8,Aged 8 years,3,Mixed or Multiple ethnic groups,1,Female,4
E09000001,City of London,8,Aged 8 years,3,Mixed or Multiple ethnic groups,2,Male,6
E09000001,City of London,8,Aged 8 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,2
E09000001,City of London,8,Aged 8 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,7
E09000001,City of London,8,Aged 8 years,5,White: Irish,1,Female,0
E09000001,City of London,8,Aged 8 years,5,White: Irish,2,Male,0
E09000001,City of London,8,Aged 8 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,2
E09000001,City of London,8,Aged 8 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,3
E09000001,City of London,8,Aged 8 years,7,Other ethnic group,1,Female,2
E09000001,City of London,8,Aged 8 years,7,Other ethnic group,2,Male,1
E09000001,City of London,9,Aged 9 years,-8,Does not apply,1,Female,0
E09000001,City of London,9,Aged 9 years,-8,Does not apply,2,Male,0
E09000001,City of London,9,Aged 9 years,1,"Asian, Asian British or Asian Welsh",1,Female,5
E09000001,City of London,9,Aged 9 years,1,"Asian, Asian British or Asian Welsh",2,Male,3
E09000001,City of London,9,Aged 9 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,0
E09000001,City of London,9,Aged 9 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,1
E09000001,City of London,9,Aged 9 years,3,Mixed or Multiple ethnic groups,1,Female,1
E09000001,City of London,9,Aged 9 years,3,Mixed or Multiple ethnic groups,2,Male,3
E09000001,City of London,9,Aged 9 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,5
E09000001,City of London,9,Aged 9 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,9
E09000001,City of London,9,Aged 9 years,5,White: Irish,1,Female,0
E09000001,City of London,9,Aged 9 years,5,White: Irish,2,Male,0
E09000001,City of London,9,Aged 9 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,2
E09000001,City of London,9,Aged 9 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,3
E09000001,City of London,9,Aged 9 years,7,Other ethnic group,1,Female,0
E09000001,City of London,9,Aged 9 years,7,Other ethnic group,2,Male,1
E09000001,City of London,10,Aged 10 years,-8,Does not apply,1,Female,0
E09000001,City of London,10,Aged 10 years,-8,Does not apply,2,Male,0
E09000001,City of London,10,Aged 10 years,1,"Asian, Asian British or Asian Welsh",1,Female,1
E09000001,City of London,10,Aged 10 years,1,"Asian, Asian British or Asian Welsh",2,Male,2
E09000001,City of London,10,Aged 10 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,4
E09000001,City of London,10,Aged 10 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,1
E09000001,City of London,10,Aged 10 years,3,Mixed or Multiple ethnic groups,1,Female,6
E09000001,City of London,10,Aged 10 years,3,Mixed or Multiple ethnic groups,2,Male,5
E09000001,City of London,10,Aged 10 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,9
E09000001,City of London,10,Aged 10 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,13
E09000001,City of London,10,Aged 10 years,5,White: Irish,1,Female,0
E09000001,City of London,10,Aged 10 years,5,White: Irish,2,Male,0
E09000001,City of London,10,Aged 10 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,2
E09000001,City of London,10,Aged 10 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,3
E09000001,City of London,10,Aged 10 years,7,Other ethnic group,1,Female,1
E09000001,City of London,10,Aged 10 years,7,Other ethnic group,2,Male,0
E09000001,City of London,11,Aged 11 years,-8,Does not apply,1,Female,0
E09000001,City of London,11,Aged 11 years,-8,Does not apply,2,Male,0
E09000001,City of London,11,Aged 11 years,1,"Asian, Asian British or Asian Welsh",1,Female,2
E09000001,City of London,11,Aged 11 years,1,"Asian, Asian British or Asian Welsh",2,Male,7
E09000001,City of London,11,Aged 11 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,1
E09000001,City of London,11,Aged 11 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,0
E09000001,City of London,11,Aged 11 years,3,Mixed or Multiple ethnic groups,1,Female,4
E09000001,City of London,11,Aged 11 years,3,Mixed or Multiple ethnic groups,2,Male,2
E09000001,City of London,11,Aged 11 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,12
E09000001,City of London,11,Aged 11 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,6
E09000001,City of London,11,Aged 11 years,5,White: Irish,1,Female,0
E09000001,City of London,11,Aged 11 years,5,White: Irish,2,Male,0
E09000001,City of London,11,Aged 11 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,3
E09000001,City of London,11,Aged 11 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,2
E09000001,City of London,11,Aged 11 years,7,Other ethnic group,1,Female,1
E09000001,City of London,11,Aged 11 years,7,Other ethnic group,2,Male,1
E09000001,City of London,12,Aged 12 years,-8,Does not apply,1,Female,0
E09000001,City of London,12,Aged 12 years,-8,Does not apply,2,Male,0
E09000001,City of London,12,Aged 12 years,1,"Asian, Asian British or Asian Welsh",1,Female,3
E09000001,City of London,12,Aged 12 years,1,"Asian, Asian British or Asian Welsh",2,Male,3
E09000001,City of London,12,Aged 12 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,0
E09000001,City of London,12,Aged 12 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,0
E09000001,City of London,12,Aged 12 years,3,Mixed or Multiple ethnic groups,1,Female,2
E09000001,City of London,12,Aged 12 years,3,Mixed or Multiple ethnic groups,2,Male,8
E09000001,City of London,12,Aged 12 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,9
E09000001,City of London,12,Aged 12 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,4
E09000001,City of London,12,Aged 12 years,5,White: Irish,1,Female,1
E09000001,City of London,12,Aged 12 years,5,White: Irish,2,Male,0
E09000001,City of London,12,Aged 12 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,4
E09000001,City of London,12,Aged 12 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,0
E09000001,City of London,12,Aged 12 years,7,Other ethnic group,1,Female,0
E09000001,City of London,12,Aged 12 years,7,Other ethnic group,2,Male,0
E09000001,City of London,13,Aged 13 years,-8,Does not apply,1,Female,0
E09000001,City of London,13,Aged 13 years,-8,Does not apply,2,Male,0
E09000001,City of London,13,Aged 13 years,1,"Asian, Asian British or Asian Welsh",1,Female,4
